Epoch #241: episode_reward: 3993.218 ± 109.415,                               episode_length: 1000.000 ± 0.000
Epoch #242: episode_reward: 3010.592 ± 99.166,                               episode_length: 1000.000 ± 0.000
Epoch #243: episode_reward: 3288.054 ± 96.208,                               episode_length: 1000.000 ± 0.000
Epoch #244: episode_reward: 3058.772 ± 106.063,                               episode_length: 1000.000 ± 0.000
Epoch #245: episode_reward: 3104.090 ± 48.450,                               episode_length: 1000.000 ± 0.000
Epoch #246: episode_reward: 3384.807 ± 92.342,                               episode_length: 1000.000 ± 0.000
Epoch #247: episode_reward: 4630.025 ± 40.918,                               episode_length: 1000.000 ± 0.000
Epoch #248: episode_reward: 4845.481 ± 89.606,                               episode_length: 1000.000 ± 0.000
Epoch #249: episode_reward: 3342.566 ± 125.877,                               episode_length: 1000.000 ± 0.000
Epoch #250: episode_reward: 4083.873 ± 75.336,                               episode_length: 1000.000 ± 0.000
Epoch #251: episode_reward: 3305.608 ± 149.107,                               episode_length: 1000.000 ± 0.000
Epoch #252: episode_reward: 2805.740 ± 120.719,                               episode_length: 1000.000 ± 0.000
Epoch #253: episode_reward: 4547.894 ± 143.693,                               episode_length: 1000.000 ± 0.000
Epoch #254: episode_reward: 5063.490 ± 78.525,                               episode_length: 1000.000 ± 0.000
Epoch #255: episode_reward: 4104.015 ± 116.379,                               episode_length: 1000.000 ± 0.000
Epoch #256: episode_reward: 4368.229 ± 106.029,                               episode_length: 1000.000 ± 0.000
Epoch #257: episode_reward: 4348.750 ± 46.687,                               episode_length: 1000.000 ± 0.000
Epoch #258: episode_reward: 4249.924 ± 77.664,                               episode_length: 1000.000 ± 0.000
Epoch #259: episode_reward: 4284.216 ± 34.267,                               episode_length: 1000.000 ± 0.000
Epoch #260: episode_reward: 3781.549 ± 77.491,                               episode_length: 1000.000 ± 0.000
Epoch #261: episode_reward: 3780.783 ± 106.627,                               episode_length: 1000.000 ± 0.000
Epoch #262: episode_reward: 4494.337 ± 128.127,                               episode_length: 1000.000 ± 0.000
Epoch #263: episode_reward: 4391.655 ± 60.623,                               episode_length: 1000.000 ± 0.000
Epoch #264: episode_reward: 3704.687 ± 119.773,                               episode_length: 1000.000 ± 0.000
Epoch #265: episode_reward: 4855.831 ± 129.800,                               episode_length: 1000.000 ± 0.000
Epoch #266: episode_reward: 4243.317 ± 89.891,                               episode_length: 1000.000 ± 0.000
Epoch #267: episode_reward: 4217.784 ± 91.758,                               episode_length: 1000.000 ± 0.000
Epoch #268: episode_reward: 4841.236 ± 61.246,                               episode_length: 1000.000 ± 0.000
Epoch #269: episode_reward: 4012.631 ± 114.116,                               episode_length: 1000.000 ± 0.000
Epoch #270: episode_reward: 4372.267 ± 84.965,                               episode_length: 1000.000 ± 0.000
